11.0,935.0,9.0
13.0,936.0,9.0
13.0,935.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
12.0,936.0,9.0
12.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
12.0,936.0,9.0
12.0,936.0,9.0
13.0,935.0,9.0
13.0,935.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
12.0,936.0,9.0
12.0,936.0,9.0
13.0,936.0,9.0
13.0,935.0,9.0
12.0,935.0,9.0
12.0,936.0,9.0
13.0,935.0,9.0
13.0,935.0,9.0
13.0,935.0,9.0
12.0,935.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
12.0,936.0,9.0
12.0,936.0,9.0
12.0,936.0,9.0
13.0,936.0,9.0
13.0,935.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,935.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,8.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
12.0,936.0,9.0
13.0,936.0,9.0
12.0,936.0,9.0
12.0,936.0,9.0
12.0,936.0,9.0
13.0,935.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,935.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,935.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
12.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
12.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
13.0,936.0,9.0
